Element,Li,Be,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Hf,W,Gd
Atomic_weight,6.941,9.012,10.811,12.01,24.3,26.98,28.085,44.955,47.867,50.94,51.99,54.93,55.84,58.93,58.69,63.54,65.4,88.9,91.22,92.906,95.94,178.69,183.85,157.25
Rm,167,112,87,67,160,143.2,111,162,146.2,134.6,136,130.4,127.4,125.2,124.6,127.8,134,180,160.2,146.8,140,158,139,180
Density,0.534,1.84,2.34,2.26,1.74,2.7,2.33,2.98,4.54,6,7.19,7.3,7.87,8.86,8.91,8.96,7.14,4.47,6.53,8.57,10.28,13.31,19.3,7.9
VEC,1,2,3,4,2,3,4,3,4,5,6,7,2,2,2,1,2,3,4,5,6,4,3,4
Xa,1,1.4,2.051,2.544,1.2,1.613,1.8,1.35,1.55,1.63,1.66,1.55,1.83,1.88,1.91,1.9,1.65,1.22,1.33,1.6,2.16,1.3,2.36,1.2
Tm,180.5,1287,2079,3825,650,660.3,1414,1540,1970,1910,1907,1246,1538,1495,1455,1085,420,1526,1855,2477,2623,2233,3017,1313
Shear_Modulus,4.2,132,160,200,17,26,65,29,44,47,115,65,82,75,76,48,43,26,33,38,126,44,161,22
Poisson_ratio,0.36,0.03,0.12,0.1,0.29,0.35,0.22,0.3,0.34,0.37,0.21,0.25,0.29,0.31,0.31,0.34,0.25,0.31,0.34,0.4,0.31,0.36,0.28,0.26
Lattice_parameter,3.51,2.29,2.5,2.46,3.21,4.05,3.84,3.31,3.31,3.03,2.88,2.89,2.87,3.54,3.52,3.61,2.66,3.65,3.58,3.3,3.15,3.54,3.16,3.63
Ew,0.01,0.02,0.02,0.03,0.02,0.02,0.03,-0.04,-0.05,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,-0.05,-0.06,0.05,0.08,-0.05,0.09,-0.04
